cores, tasks, nodes, edgep, objro, growf,  util, sched, mhigh, mlow,  cavg,  lavg
    5,    10,    50,   0.7,   0.1,   0.8,   4.5,     0,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   5.0,     0,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   5.5,     0,   001,  004,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   6.0,     0,   002,  003,2665.20,2081.40
    5,    10,    50,   0.7,   0.1,   0.9,    .5,     1,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   1.0,     1,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   1.5,     1,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   2.0,     1,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   2.5,     1,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   3.0,     0,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   3.5,     0,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   4.0,     0,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   4.5,     0,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   5.0,     0,   000,  005,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   5.5,     0,   002,  003,2670.38,2094.19
    5,    10,    50,   0.7,   0.1,   0.9,   6.0,     0,   002,  003,2671.25,2087.45
    5,    10,    50,   0.7,   0.1,   1.0,    .5,     1,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   1.0,     1,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   1.5,     1,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   2.0,     1,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   2.5,     1,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   3.0,     0,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   3.5,     0,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   4.0,     0,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   4.5,     0,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   5.0,     0,   000,  005,2677.17,2100.99
    5,    10,    50,   0.7,   0.1,   1.0,   5.5,     0,   002,  003,2677.29,2093.49
    5,    10,    50,   0.7,   0.1,   1.0,   6.0,     0,   002,  003,2677.29,2093.49
    5,    10,    50,   0.7,   0.2,   0.1,    .5,     1,   000,  005,2811.54,2259.73
    5,    10,    50,   0.7,   0.2,   0.1,   1.0,     1,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   1.5,     1,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   2.0,     1,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   2.5,     1,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   3.0,     0,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   3.5,     0,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   4.0,     0,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   4.5,     0,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   5.0,     0,   000,  005,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   5.5,     0,   001,  004,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.1,   6.0,     0,   002,  003,2806.43,2254.62
    5,    10,    50,   0.7,   0.2,   0.2,    .5,     1,   000,  005,2814.37,2262.52
    5,    10,    50,   0.7,   0.2,   0.2,   1.0,     1,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   1.5,     1,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   2.0,     1,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   2.5,     1,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   3.0,     0,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   3.5,     0,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   4.0,     0,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   4.5,     0,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   5.0,     0,   000,  005,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   5.5,     0,   001,  004,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.2,   6.0,     0,   002,  003,2809.72,2257.87
    5,    10,    50,   0.7,   0.2,   0.3,    .5,     1,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   1.0,     1,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   1.5,     1,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   2.0,     1,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   2.5,     1,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   3.0,     0,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   3.5,     0,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   4.0,     0,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   4.5,     0,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   5.0,     0,   000,  005,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   5.5,     0,   001,  004,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.3,   6.0,     0,   002,  003,2813.00,2261.16
    5,    10,    50,   0.7,   0.2,   0.4,    .5,     1,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   1.0,     1,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   1.5,     1,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   2.0,     1,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   2.5,     1,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   3.0,     0,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   3.5,     0,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   4.0,     0,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   4.5,     0,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   5.0,     0,   000,  005,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   5.5,     0,   001,  004,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.4,   6.0,     0,   002,  003,2816.29,2264.45
    5,    10,    50,   0.7,   0.2,   0.5,    .5,     1,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   1.0,     1,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   1.5,     1,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   2.0,     1,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   2.5,     1,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   3.0,     0,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   3.5,     0,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   4.0,     0,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   4.5,     0,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   5.0,     0,   000,  005,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   5.5,     0,   001,  004,2819.58,2267.74
    5,    10,    50,   0.7,   0.2,   0.5,   6.0,     0,   002,  003,2819.58,2267.74
